Job ID,parent,MB-seconds,vcore-seconds,AM Host,WF-Type,WF-Name,Application-Name,Uber job,Number of maps,Number of reduces,Job state,Counters,FILE Number of bytes read,FILE Number of bytes written,FILE Number of read operations,FILE Number of large read operations,FILE Number of write operations,HDFS Number of bytes read,HDFS Number of bytes written,HDFS Number of read operations,HDFS Number of large read operations,HDFS Number of write operations,Launched map tasks,Other local map tasks,Total time spent by all maps in occupied slots ms,TOTAL_LAUNCHED_UBERTASKS,NUM_UBER_SUBMAPS,Total time spent by all map tasks ms,Total vcore-seconds taken by all map tasks,Total megabyte-seconds taken by all map tasks,Map input records,Map output records,Input split bytes,Spilled Records,Failed Shuffles,Merged Map outputs,GC time elapsed ms,CPU time spent ms,Physical memory bytes snapshot,Virtual memory bytes snapshot,Total committed heap usage bytes,Bytes Read,Bytes Written,Application-Type,Start-Time,Finish-Time
_1462211675523_212078,,,,,,,,true,1,0,SUCCEEDED,31,0,118696,0,0,0,117844,166981,311,0,8,1,1,58655,1,1,11731,11731,60062720,1,0,67,0,0,0,84,6900,310452224,1352511488,510132224,0,0,,,
_1462211675523_216307,,,,,,,,true,1,0,SUCCEEDED,31,0,119518,0,0,0,118662,167036,311,0,8,1,1,8865815,1,1,1773163,1773163,9078594560,1,0,67,0,0,0,355,23320,377217024,1350594560,471859200,0,0,,,
_1462211675523_227903,,,,,,,,true,1,0,SUCCEEDED,31,0,119184,0,0,0,118332,167164,311,0,8,1,1,511675,1,1,102335,102335,523955200,1,0,67,0,0,0,65,6230,330588160,1346183168,511705088,0,0,,,
_1462211675523_210196,,,,,,,,true,1,0,SUCCEEDED,31,0,119245,0,0,0,118389,167015,311,0,8,1,1,2241250,1,1,448250,448250,2295040000,1,0,67,0,0,0,228,11810,387485696,1362841600,499122176,0,0,,,
_1462211675523_224127,,,,,,,,true,1,0,SUCCEEDED,31,0,119286,0,0,0,118430,167077,311,0,8,1,1,25485,1,1,5097,5097,26096640,1,0,67,0,0,0,115,4410,315904000,1366876160,508035072,0,0,,,
_1462211675523_240281,,486649,86,hadoop04,hive2,aggregation/aggregate,populateAggregateViewTable,true,1,0,SUCCEEDED,31,0,119184,0,0,0,118332,167163,311,0,8,1,1,362805,1,1,72561,72561,371512320,1,0,67,0,0,0,72,7000,313462784,1344323584,505937920,0,0,MAPREDUCE,1463712013774,1463712094199
_1462211675523_233783,,,,,,,,true,1,0,SUCCEEDED,31,0,118696,0,0,0,117844,166981,311,0,8,1,1,52835,1,1,10567,10567,54103040,1,0,67,0,0,0,136,6960,332275712,1374625792,510132224,0,0,,,
_1462211675523_235860,,10176314,1806,hadoop06,hive2,aggregation/aggregate,pivotUnsubs,true,1,0,SUCCEEDED,31,0,119518,0,0,0,118662,167035,311,0,8,1,1,8952035,1,1,1790407,1790407,9166883840,1,0,67,0,0,0,442,21490,308043776,1359273984,473432064,0,0,MAPREDUCE,1463665245949,1463667047713
_1462211675523_209558,,,,,,,,true,1,0,SUCCEEDED,31,0,118696,0,0,0,117844,166979,311,0,8,1,1,44380,1,1,8876,8876,45445120,1,0,67,0,0,0,50,3840,304689152,1363836928,508035072,0,0,,,
_1462211675523_240516,,1154503,204,hadoop04,hive2,aggregation/aggregate,populateAggregateViewTable,true,1,0,SUCCEEDED,31,0,119184,0,0,0,118332,167164,311,0,8,1,1,941290,1,1,188258,188258,963880960,1,0,67,0,0,0,99,9460,314122240,1359237120,498073600,0,0,MAPREDUCE,1463714039718,1463714238243
