Job ID,parent,MB-seconds,vcore-seconds,AM Host,WF-Type,WF-Name,Application-Name,Uber job,Number of maps,Number of reduces,Job state,Counters,FILE Number of bytes read,FILE Number of bytes written,FILE Number of read operations,FILE Number of large read operations,FILE Number of write operations,HDFS Number of bytes read,HDFS Number of bytes written,HDFS Number of read operations,HDFS Number of large read operations,HDFS Number of write operations,Launched map tasks,Other local map tasks,Total time spent by all maps in occupied slots ms,TOTAL_LAUNCHED_UBERTASKS,NUM_UBER_SUBMAPS,Total time spent by all map tasks ms,Total vcore-seconds taken by all map tasks,Total megabyte-seconds taken by all map tasks,Map input records,Map output records,Input split bytes,Spilled Records,Failed Shuffles,Merged Map outputs,GC time elapsed ms,CPU time spent ms,Physical memory bytes snapshot,Virtual memory bytes snapshot,Total committed heap usage bytes,Bytes Read,Bytes Written,Application-Type,Start-Time,Finish-Time,Launched reduce tasks,Rack-local map tasks,Total time spent by all reduces in occupied slots ms,Total time spent by all reduce tasks ms,Total vcore-seconds taken by all reduce tasks,Total megabyte-seconds taken by all reduce tasks,Map output bytes,Map output materialized bytes,Combine input records,Combine output records,Reduce input groups,Reduce shuffle bytes,Reduce input records,Reduce output records,Shuffled Maps,BAD_ID,CONNECTION,IO_ERROR,WRONG_LENGTH,WRONG_MAP,WRONG_REDUCE,Killed reduce tasks,Data-local map tasks,CREATED_FILES,DESERIALIZE_ERRORS,RECORDS_IN,RECORDS_OUT_0,RECORDS_OUT_INTERMEDIATE,SKEWJOINFOLLOWUPJOBS,RECORDS_OUT_1_default.a_activity,RECORDS_OUT_1_default.v_activity,RECORDS_OUT_1_default.r_activity_archive_parquet,RECORDS_OUT_1_default.r_send_archive_parquet,Failed reduce tasks
_1462211675523_216674,_1462211675523_216671,,,,,,,false,15,55,SUCCEEDED,56,288289753,462187912,0,0,0,3683963056,691551701,773,0,110,15,,18092810,,,3618562,3618562,18527037440,63232809,3942297,45386,11160591,0,825,36597,3829150,62084333568,609411846144,151214620672,0,0,,,,56,4,20086490,2008649,2008649,20568565760,657394202,157140646,0,0,1,157140646,3942297,0,825,0,0,0,0,0,0,1,11,1,0,63232809,3942297,3942297,,,,,,
_1462211675523_205183,_1462211675523_205179,,,,,,,false,2,7,SUCCEEDED,55,110223822,222710148,0,0,0,101508200,531417366,834,0,14,2,,819995,,,163999,163999,839674880,6485136,6448175,22896,12896350,0,14,2166,268040,9314942976,77951221760,20925906944,0,0,,,,7,1,1292190,129219,129219,1323202560,569805296,110229095,0,0,6447481,110229095,6448175,0,14,0,0,0,0,0,0,,1,7,0,6485136,6447481,6448175,,,,,,
_1462211675523_220833,_1462211675523_220825,,,,,,,false,1,10,SUCCEEDED,49,200,2732520,0,0,0,97310,20,26,0,10,1,,31095,,,6219,6219,31841280,0,0,305,0,0,10,844,34830,5848715264,101806272512,22641901568,0,0,,,,10,,844030,84403,84403,864286720,0,160,0,0,0,160,0,0,10,0,0,0,0,0,0,,1,,,,,,,,,,,
_1462211675523_224628,_1462211675523_224143,,,,,,,false,1,2,SUCCEEDED,55,14051851,28867141,0,0,0,108794356,53747387,636,0,4,1,,116790,,,23358,23358,119592960,489228,489228,25265,978456,0,2,491,37720,2617491456,24504250368,6712983552,0,0,,,,3,,378590,37859,37859,387676160,127066260,14051843,0,0,254620,14051843,489228,0,2,0,0,0,0,0,0,1,1,1,0,489228,254620,489228,,,,,,
_1462211675523_245350,_1462211675523_245290,13118089,1836,hadoop05,,,,false,13,51,SUCCEEDED,57,1742154347,3013981146,0,0,0,3386338633,373110774,2963,0,102,13,,3839070,,,767814,767814,3931207680,67422231,67422231,113245,162515466,0,663,9461,1550870,55242166272,560442642432,138741809152,0,0,MAPREDUCE,1463769929097,1463770111637,52,2,7642760,764276,764276,7826186240,3717537576,1271852147,0,0,67422231,1271852147,67422231,0,663,0,0,0,0,0,0,1,11,51,0,67422231,1582251,67422231,0,,,,,
_1462211675523_205394,_1462211675523_205313,,,,,,,false,4,10,SUCCEEDED,57,232311570,473703871,0,0,0,610851646,960,130,0,20,4,,682410,,,136482,136482,698787840,13927440,13927440,4260,27854880,0,40,817,209670,11555274752,117426757632,28506587136,0,0,,,,11,2,800860,80086,80086,820080640,678796462,237826593,0,0,13927440,237826593,13927440,0,40,0,0,0,0,0,0,1,2,10,0,13927440,0,13927440,0,,,,,
_1462211675523_209123,_1462211675523_209121,,,,,,,false,11,42,SUCCEEDED,56,823651073,1583057308,0,0,0,628692133,3307081841,4874,0,84,11,,4174860,,,834972,834972,4275056640,40607312,40566502,129152,85370951,0,462,9730,1488250,49376727040,462819840000,117811707904,0,0,,,,43,1,8012150,801215,801215,8204441600,3552650644,749801885,0,0,40555523,749801885,40566502,0,462,0,0,0,0,0,0,1,10,42,0,40607312,40555523,40566502,,,,,,
_1462211675523_215666,_1462211675523_215562,,,,,,,false,3,10,SUCCEEDED,54,153829521,310889917,0,0,0,665835398,140128940,308,0,31,3,,409495,,,81899,81899,419322880,3848274,3848274,10452,7696548,0,30,2619,262860,16389664768,112216481792,34745614336,0,0,,,,10,,1792830,179283,179283,1835857920,632444003,153831059,0,0,10,153831059,3848274,0,30,0,0,0,0,0,0,,3,10,0,3848274,,3848274,,,,3848274,,
_1462211675523_225082,,,,,,,,true,1,0,SUCCEEDED,31,0,119542,0,0,0,118686,167090,311,0,8,1,1,7191105,1,1,1438221,1438221,7363691520,1,0,67,0,0,0,322,19830,321638400,1367355392,478150656,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_1462211675523_222450,,,,,,,,true,1,0,SUCCEEDED,31,0,118696,0,0,0,117844,166981,311,0,8,1,1,45530,1,1,9106,9106,46622720,1,0,67,0,0,0,96,5960,315518976,1374642176,508559360,0,1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
